presentations
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),講演者(日本語),講演者(英語),会議名(日本語),会議名(英語),発表年月日,開催年月日(From),開催年月日(To),招待の有無,記述言語,会議種別,主催者(日本語),主催者(英語),開催地(日本語),開催地(英語),国・地域,概要(日本語),概要(英語),国際・国内会議,国際共著,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,49657517,"Br添加 KSbF4のフッ化物イオン伝導","Fluoride ion conductivity of bromine-doped KSbF4","[川原一晃,石川亮,柴田直哉,幾原雄一]","[Kazuaki Kawahara,Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara]",セラミックス協会2025年会,null,2025-03-06,2025-03-05,2025-03-07,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,49657497,"ハロゲン添加KSbF4(KSbF3.9X0.1: X=Cl, Br, I)のフッ化物イオン伝導","Fluoride ion conductivity of halogen doped KSbF 4 (KSbF 3.9 X 0.1 : X=Cl, Br,","[川原一晃,石川亮,柴田直哉,幾原雄一]","[Kazuaki Kawahara,Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara]",第65回電池討論会,null,2024-11-22,2024-11-20,2024-11-22,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,49657475,null,"Fluoride ion conductivity of Rb-doped KSbF4",null,"[Kazuaki Kawahara,Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara]",null,"ECS PRiME 2024",2024-10-09,2024-10-06,2024-10-11,false,eng,poster_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,49657448,全三階変動を用いた原子分解能STEM像の超解像,"Super-resolution of atomic-resolution STEM image by total third degree variation","[川原一晃,石川亮,佐々野駿,柴田直哉,幾原雄一]","[Kazuaki Kawahara,Ryo Ishikawa,Shun Sasano,Naoya Shibata,Yuichi Ikuhara]",日本顕微鏡学会第80回学術講演会,null,2024-06-04,2024-06-03,2024-06-05,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,49657353,ハロゲン添加KSbF4のフッ化物イオン伝導,"Fluoride ion conductivity of halogen-doped KSbF4","[川原一晃,石川亮,柴田直哉,幾原雄一]","[Kazuaki Kawahara,Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara]",セラミックス協会2024年会,null,2024-03-15,2024-03-14,2024-03-16,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,49657253,LaF3を基にしたフッ化物イオン伝導体の開発,"Development of fluoride ion conductors based on LaF3","[川原一晃,石川亮,佐々野駿,柴田直哉,幾原雄一]","[Kazuaki Kawahara,Ryo Ishikawa,Shun Sasano,Naoya Shibata,Yuichi Ikuhara]",第64回電池討論会,null,2023-11-29,2023-11-28,2023-11-30,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,43604844,"Atomic-resolution STEM image denoising by total variation regularization",null,"[K. Kawahara,R. Ishikawa,S. Sasano,N. Shibata,Y. Ikuhara]",null,IMC20,null,2023-09-12,null,null,false,eng,poster_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,43604830,"Atomic-Resolution STEM Image Denoising by Total Variation Regularization",null,"[K. Kawahara,R. Ishikawa,S. Sasano,N. Shibata,Y. Ikuhara]",null,IAMNano2023,null,2023-06-28,null,null,false,jpn,poster_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,43604822,全三階変動を用いた原子分解能STEM像のノイズ除去,null,"[川原一晃,石川亮,佐々野駿,柴田直哉,幾原雄一]",null,日本顕微鏡学会第79回学術講演会,null,2023-06-26,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42409230,LaF3を基にしたフッ化物イオン伝導体の開発,null,"[川原一晃,石川亮,佐々野駿,柴田直哉,幾原雄一]",null,日本セラミックス協会2023年年会,null,2023-03,null,null,false,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
