published_papers
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,49077216,null,"La1−xSrxF3−x: A Solid-State Electrolyte for Fluoride Ion Battery with High Ionic Conductivity and Wide Electrochemical Potential Window",null,"[Kazuaki Kawahara,Ryo Ishikawa,Shun Sasano,Naoya Shibata,Yuichi Ikuhara]","[lead,corresponding]",null,"Fluoride ion conductors are developed for use as solid-state electrolytes in fluoride ion batteries which are one of promising candidates for next-generation storage batteries. Ba-doped LaF<sub>3</sub> (La<sub>0.9</sub>Ba<sub>0.1</sub>F<sub>2.9</sub>: LBF) is mainly used as a solid-state electrolyte in fluoride ion batteries. However, room temperature conductivity of LBF is considerably low, on the order of 10<sup>−6</sup> S cm<sup>−1</sup> and it is still unclear the optimal elements to be doped to LaF<sub>3</sub>. In this study, we have explored La<sub>0.9</sub>Sr<sub> x </sub>Ba<sub>0.1−x </sub>F<sub>2.9</sub> system (x = 0, 0.01, 0.025, 0.05, 0.1), in which Ba in LBF is substituted for Sr and investigated the composition dependence of ionic conductivity. We elucidate that the higher concentration of Sr without Ba can significantly improve the ionic conductivity, and the maximum ionic conductivity of La<sub>0.9</sub>Sr<sub>0.1</sub>F<sub>2.9</sub> is 1.5 × 10<sup>−5</sup> S cm<sup>−1</sup> at room temperature, which is one order of magnitude larger than that of LBF. The higher ionic conductivity of LSF is due to the larger grain size and higher sintering density of LSF compared to LBF, which results in lower grain boundary resistance. The LSF total ionic conductivity of 10<sup>−4</sup> S cm<sup>−1</sup> can be achieved at 350 K, which significantly lowers operating temperature of fluoride ion batteries down to 350 K.",null,"The Electrochemical Society",2024-11-01,null,"Journal of The Electrochemical Society",171,11,110508,110508,eng,true,false,scientific_journal,null,null,10.1149/1945-7111/ad8d10,0013-4651,1945-7111,https://iopscience.iop.org/article/10.1149/1945-7111/ad8d10,https://iopscience.iop.org/article/10.1149/1945-7111/ad8d10/pdf,false,disclosed
insert,merge,null,48512381,null,"Highly Reversible Conversion‐Type CoSn2 Cathode for Fluoride‐Ion Batteries",null,"[Shun Sasano,Ryo Ishikawa,Kazuaki Kawahara,Naoya Shibata,Yuichi Ikuhara]",null,null,"Abstract

An all‐solid‐state fluoride‐ion battery (FIB) is one of the promising candidates for the next‐generation battery owing to its high energy density and high safety. For the practical application of FIBs, it is an urgent task to operate FIBs at lower temperatures. However, there are still two major difficulties in conventional conversion‐type pure metal cathodes: low F<sup>−</sup> ion conductivities and poor cycle stabilities. Here, the conversion‐type Sn‐based intermetallic alloy is proposed as a new cathode that can overcome the above issues. The present CoSn<sub>2</sub> cathode retains the discharge capacity of 229 mAh g<sup>−1</sup> after 250 cycles, even at 60 °C. CoSn<sub>2</sub> is decomposed into CoF<sub>2</sub> and SnF<sub>2</sub> nanocrystals in the charging process, and the nanoscale network structure of SnF<sub>2</sub> provides the fast F<sup>−</sup> ion conduction path throughout the cathode, facilitating the battery operation at lower temperatures. Moreover, the formed CoF<sub>2</sub> and SnF<sub>2</sub> phases are merged into the original CoSn<sub>2</sub> phase in the discharging process, leading to a highly reversible redox reaction and the high cycle stability of CoSn<sub>2</sub>. These findings should pave the way to enhance the performance of all‐solid‐state FIBs at lower temperatures.",null,Wiley,2024-10-22,null,Small,21,1,null,null,null,true,null,scientific_journal,null,null,10.1002/smll.202408023,1613-6810,1613-6829,https://onlinelibrary.wiley.com/doi/pdf/10.1002/smll.202408023,null,false,disclosed
insert,merge,null,49077244,フッ化物電池用LaAl3負極の開発・微細構造解析,"Development and Microstructure Analysis of LaAl3 Anode for Fluoride-ion Batteries","[佐々野駿,石川亮,川原一晃,柴田直哉,幾原雄一]","[Shun Sasano,Ryo Ishikawa,Kazuaki Kawahara,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,null,2024-10,Ceramics,Ceramics,59,10,698,701,jpn,true,null,scientific_journal,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,47883305,null,"New Poisson denoising method for pulse-count STEM imaging",null,"[Taichi Kusumi,Shun Katakami,Ryo Ishikawa,Kazuaki Kawahara,Tiarnan Mullarkey,Julie Marie Bekkevold,Jonathan J.P. Peters,Lewys Jones,Naoya Shibata,Masato Okada]",null,null,null,null,"Elsevier BV",2024-10,null,Ultramicroscopy,264,null,113996,113996,null,null,null,scientific_journal,null,null,10.1016/j.ultramic.2024.113996,0304-3991,null,null,null,false,disclosed
insert,merge,null,47883313,null,"Total third-degree variation for noise reduction in atomic-resolution STEM images",null,"[Kazuaki Kawahara,Ryo Ishikawa,Shun Sasano,Naoya Shibata,Yuichi Ikuhara]","[lead,corresponding]",null,"Abstract

 Scanning Transmission Electron Microscopy (STEM) enables direct determination of atomic arrangements in materials and devices. However, materials such as battery components are weak for electron beam irradiation, and low electron doses are required to prevent beam-induced damages. Noise removal is thus essential for precise structural analysis of electron-beam-sensitive materials at atomic resolution. Total square variation (TSV) regularization is an algorithm that exhibits high noise removal performance. However, the use of the TSV regularization term leads to significant image blurring and intensity reduction. To address these problems, we here propose a new approach adopting L2 norm regularization based on higher-order total variation. An atomic-resolution STEM image can be approximated as a set of smooth curves represented by quadratic functions. Since the third-degree derivative of any quadratic function is 0, total third-degree variation (TTDV) is suitable for a regularization term. The application of TTDV for denoising the atomic-resolution STEM image of CaF2 observed along the [001] zone axis is shown, where we can clearly see the Ca and F atomic columns without compromising image quality.",null,"Oxford University Press (OUP)",2024-07-02,null,Microscopy,74,1,1,9,eng,true,false,scientific_journal,null,null,10.1093/jmicro/dfae031,2050-5698,2050-5701,https://academic.oup.com/jmicro/advance-article-pdf/doi/10.1093/jmicro/dfae031/58498875/dfae031.pdf,https://academic.oup.com/jmicro/article-pdf/74/1/1/58498875/dfae031.pdf,false,disclosed
insert,merge,null,46226750,null,"Real-time tracking of three-dimensional atomic dynamics of Pt trimer on TiO 2 (110)",null,"[Ryo Ishikawa,Toshihiro Futazuka,Yu Jimbo,Kazuaki Kawahara,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,null,2024-03,null,"Science Advances",null,null,null,null,null,true,null,scientific_journal,null,null,10.1126/sciadv.adk6501,null,null,null,null,false,disclosed
insert,merge,null,46425881,null,"La-Al Intermetallic Alloy Anode for Realizing High-Energy Fluoride-Ion Battery",null,"[Shun Sasano,Ryo Ishikawa,Kazuaki Kawahara,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,null,2023-12-01,null,"Journal of The Electrochemical Society",null,null,null,null,null,null,null,scientific_journal,null,null,10.1149/1945-7111/ad136e,null,null,null,null,false,disclosed
insert,merge,null,43604788,null,"Fast reconstruction of scanning transmission electron microscopy images using Markov random field model",null,"[Taichi Kusumi,Shun Katakami,Ryo Ishikawa,Kazuaki Kawahara,Naoya Shibata,Masato Okada]",null,null,null,null,"Elsevier BV",2023-11,null,Ultramicroscopy,253,null,113811,113811,eng,true,null,scientific_journal,null,null,10.1016/j.ultramic.2023.113811,0304-3991,null,null,null,false,disclosed
insert,merge,null,41751088,null,"Fluoride Ion Conductivity of Rb Doped KSbF4",null,"[Kazuaki Kawahara,Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara]","[lead,corresponding]",null,"Abstract

 All solid-state fluoride ion batteries are considered to be high energy density and safe energy storage devices. However, the F– ion conductivities of solid electrolytes at room temperature are low (&lt; 10-6 S cm-1), which requires the higher operating temperature of fluoride ion battery such as 420 K or higher. Therefore, the faster F– ion conductors is strongly desired to operate fluoride ion battery at lower or even room temperature. KSbF4 is one of the promising candidates to have a faster F– ion conductivity. To expand F– ion conduction pathways, we doped Rb in KSbF4 and further investigated the compositional dependence of ionic conductivity in K1-xRbxSbF4 system. We found that ionic conductivity strongly depends on the chemical composition and conductivity was maximized at x = 0.15. At room temperature, the F– ion conductivity in the bulk and at the grain boundary of K0.85Rb0.15SbF4 were σbulk = 1.01 × 10-4 S cm-1 and σGB = 4.80 × 10-5 S cm-1, respectively.",null,"The Electrochemical Society",2023-02-16,null,"Journal of The Electrochemical Society",170,null,020528,null,eng,true,false,scientific_journal,null,null,10.1149/1945-7111/acbca5,0013-4651,1945-7111,https://iopscience.iop.org/article/10.1149/1945-7111/acbca5,https://iopscience.iop.org/article/10.1149/1945-7111/acbca5/pdf,false,disclosed
insert,merge,null,41751074,null,"Formation of La-rich tysonite nano-precipitates in fluorite Ba0.6La0.4F2.4",null,"[Shun Sasano,Ryo Ishikawa,Kazuaki Kawahara,Atsushi Mineshige,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,"Elsevier BV",2023-02,null,"Journal of Power Sources",557,null,232581,232581,eng,true,false,scientific_journal,null,null,10.1016/j.jpowsour.2022.232581,0378-7753,null,null,null,false,disclosed
